S,Vmfn,Rem,Dfn,colIndex,frictionFactor
0.6,0.27257009839612867,2796.6194663542537,1.0228215767634854,1,5.294762911193136
0.6,0.23842732714040904,2796.6194663542537,1.0228098146104374,2,4.521308278276767
0.6,0.20741720571583847,2446.2580776687632,1.0228004937451765,3,5.369496732980584
0.6,0.18608510512723522,2128.060403227895,1.0227948346082032,4,7.193078867804234
0.6,0.18108583166325407,1909.1783055296983,1.022793597110295,5,5.527567867589038
0.6,0.16866051841741966,1857.8832179530286,1.0227906673653298,6,6.381845178738187
0.6,0.1610840699516206,1730.3945881752331,1.0227889830918018,7,7.044634096136615
0.6,0.1557985013375079,1652.6581647239677,1.022787853921787,8,7.083398105081655
0.6,0.15652513087615688,1598.4271909070776,1.0227880069202828,9,6.181184023307686
0.6,0.14818730327921098,1605.882533976747,1.0227862940978054,10,7.703780770549261
0.6,0.14962552148811437,1520.3353530283928,1.0227865828580764,11,7.877792160396379
0.6,0.15143405624990527,1535.0916019142658,1.0227869499278062,12,6.4276821636151515
0.6,0.14593376627319393,1553.6473639929613,1.0227858472495195,13,7.467354710191749
0.6,0.14768888001965233,1497.2139041560476,1.0227861946769286,14,8.36656930108327
0.6,0.27257009839612867,2796.6194663542537,1.0228215767634854,1,5.294762911193136
0.6,0.23842732714040904,2796.6194663542537,1.0228092425900386,2,4.5213108068817665
0.6,0.20741720571583847,2446.25563341787,1.0227993497044459,3,5.369502738970875
0.6,0.18608510512723522,2128.0561505931378,1.0227931185471784,4,7.193090936483686
0.6,0.18108583166325407,1909.1725826820139,1.022791309028971,5,5.527580233283479
0.6,0.16866051841741966,1857.8757925033747,1.0227878072637377,6,6.381863024791323
0.6,0.1610840699516206,1730.3859432832307,1.022785550969942,7,7.044657735542406
0.6,0.1557985013375079,1652.6482568914025,1.0227838497796615,8,7.083425836192926
0.6,0.15652513087615688,1598.4160110775833,1.0227834307578725,9,6.181211679311028
0.6,0.14818730327921098,1605.8696974409509,1.0227811459151575,10,7.703819547633337
0.6,0.14962552148811437,1520.321681220815,1.0227808626551473,11,7.877836219267088
0.6,0.15143405624990527,1535.0762635830743,1.0227806577045933,12,6.427721707197257
0.6,0.14593376627319393,1553.6302878914469,1.0227789830060732,13,7.467404826337548
0.6,0.14768888001965233,1497.1959523315786,1.0227787584132024,14,8.36663013145865
0.6,0.27257009839612867,2796.6194663542537,1.0228215767634854,1,5.294762911193136
0.6,0.23842732714040904,2796.6194663542537,1.0228075265288417,2,4.521318392713737
0.6,0.20741720571583847,2446.2483006780917,1.0227959175822758,3,5.369520757022254
0.6,0.18608510512723522,2128.043392733844,1.0227879703641674,4,7.1931271427645855
0.6,0.18108583166325407,1909.1554142298041,1.0227844447851278,5,5.527617330698069
0.6,0.16866051841741966,1857.8535163116194,1.0227792269591751,6,6.381916563548258
0.6,0.1610840699516206,1730.360008836045,1.022775254604683,7,7.044728654709487
0.6,0.1557985013375079,1652.6185337084437,1.0227718373537338,8,7.083509030826435
0.6,0.15652513087615688,1598.3824720034713,1.0227697022712396,9,6.181294648802327
0.6,0.14818730327921098,1605.8311883773358,1.022765701367983,10,7.703935881222026
0.6,0.14962552148811437,1520.280666449664,1.0227637020473215,11,7.877968398828804
0.6,0.15143405624990527,1535.0302494017587,1.02276178103613,12,6.427840340855545
0.6,0.14593376627319393,1553.5790605816471,1.0227583902771433,13,7.467555178800906
0.6,0.14768888001965233,1497.1420979990237,1.022756449623691,14,8.366812627878586
